active_power_perctage,kWh_litre
0,0
0.01,0.1201923
0.01,0.2314815
0.02,0.3348214
0.03,0.4310345
0.03,0.5208333
0.04,0.6048387
0.04,0.6835938
0.05,0.7575758
0.06,0.8272059
0.06,0.8928571
0.07,0.9471496
0.08,0.9977064
0.08,1.0449002
0.09,1.0890558
0.09,1.1304574
0.1,1.1693548
0.11,1.2059687
0.11,1.2404943
0.12,1.2731054
0.13,1.3039568
0.13,1.3331874
0.14,1.3609215
0.14,1.3872712
0.15,1.4123377
0.16,1.4362124
0.16,1.4589783
0.17,1.480711
0.18,1.5014793
0.18,1.5213459
0.19,1.5403683
0.19,1.5585992
0.2,1.576087
0.21,1.5928762
0.21,1.6090078
0.22,1.6245198
0.23,1.6394472
0.23,1.6538224
0.24,1.6676755
0.24,1.6810345
0.25,1.6939252
0.26,1.706372
0.26,1.7183973
0.27,1.7300222
0.28,1.7412664
0.28,1.7521482
0.29,1.762685
0.29,1.7728928
0.3,1.7827869
0.31,1.7923814
0.31,1.8016899
0.32,1.8107248
0.33,1.8194981
0.33,1.8280209
0.34,1.8363039
0.34,1.8443571
0.35,1.8521898
0.36,1.859811
0.36,1.8672291
0.37,1.8744522
0.38,1.8814879
0.38,1.8883433
0.39,1.8950253
0.39,1.9015404
0.4,1.9078947
0.41,1.9140942
0.41,1.9201445
0.42,1.9260508
0.43,1.9318182
0.43,1.9252232
0.44,1.9188596
0.44,1.9127155
0.45,1.9067797
0.46,1.9010417
0.46,1.9067982
0.47,1.9124349
0.48,1.9179553
0.48,1.9233631
0.49,1.9286616
0.49,1.9338542
0.5,1.9389439
0.51,1.9439338
0.51,1.9488269
0.52,1.9536258
0.53,1.9583333
0.53,1.962952
0.54,1.9674844
0.54,1.9719329
0.55,1.9762997
0.56,1.9805871
0.56,1.9847973
0.57,1.9889323
0.58,1.9929941
0.58,1.9969846
0.59,2.0009058
0.59,2.0047593
0.6,2.008547
0.61,2.0122705
0.61,2.0159314
0.62,2.0195313
0.63,2.0230716
0.63,2.026554
0.64,2.0299797
0.64,2.0333501
0.65,2.0366667
0.66,2.0399306
0.66,2.043143
0.67,2.0463053
0.68,2.0494186
0.68,2.052484
0.69,2.0555025
0.69,2.0584754
0.7,2.0614035
0.71,2.0642879
0.71,2.0671296
0.72,2.0699295
0.73,2.0726886
0.73,2.0754076
0.74,2.0780875
0.74,2.0807292
0.75,2.0833333
0.76,2.0833333
0.76,2.0833333
0.77,2.0833333
0.78,2.0833333
0.78,2.0833333
0.79,2.0833333
0.79,2.0833333
0.8,2.0833333
0.81,2.0833333
0.81,2.0833333
0.82,2.0833333
0.83,2.0833333
0.83,2.0833333
0.84,2.0833333
0.84,2.0833333
0.85,2.0833333
0.86,2.0833333
0.86,2.0833333
0.87,2.0833333
0.88,2.0833333
0.88,2.0833333
0.89,2.0833333
0.89,2.0833333
0.9,2.0833333
0.91,2.0833333
0.91,2.0833333
0.92,2.0833333
0.93,2.0833333
0.93,2.0833333
0.94,2.0833333
0.94,2.0833333
0.95,2.0833333
0.96,2.0833333
0.96,2.0833333
0.97,2.0833333
0.98,2.0833333
0.98,2.0833333
0.99,2.0833333
0.99,2.0833333
1,2.0833333
